51
100
L,-395,726,252,-365,1038,-2993,571,272,R,223,543,851,-570,-940,2551,316,-124
L,-581,829,350,-682,1492,-2464,507,328,R,322,798,984,-592,-1407,2148,376,-142
L,-751,868,334,-934,2366,-2234,465,389,R,450,921,907,-638,-1950,2086,422,-191
L,-1076,761,342,-944,2514,-2300,340,521,R,823,840,637,-708,-2013,2232,388,-379
L,-1486,591,349,-740,1703,-2405,211,651,R,1553,606,571,-789,-1502,2299,201,-617
L,-2231,408,334,-524,1114,-2151,102,766,R,2669,309,883,-694,-740,1550,62,-706
L,-3078,207,512,-62,391,-939,38,798,R,2973,117,1235,-212,-561,-320,20,-673
L,-3016,146,539,559,-46,966,27,794,R,2403,169,893,175,-674,-2167,37,-692
L,-2409,276,215,909,-419,2511,65,817,R,1743,237,459,162,515,-3306,75,-734
L,-1654,507,-93,967,-1253,3271,170,726,R,900,387,389,-46,1604,-3894,215,-585
L,-936,836,-265,756,-1617,3475,406,468,R,149,589,355,-333,1858,-4148,567,-122
L,-366,1116,-241,308,-1883,3419,685,177,R,-391,596,386,-516,1663,-4290,472,288
L,23,1268,-160,-223,-1959,3349,827,-10,R,-720,456,377,-585,1460,-4487,293,505
L,303,1294,-17,-648,-1836,3540,767,-131,R,-1098,271,432,-521,1451,-4856,129,650
L,666,1225,167,-1050,-1849,3972,607,-283,R,-1643,44,471,-373,1317,-5283,15,739
L,1136,995,311,-1597,-1529,4424,401,-474,R,-2050,-394,357,-213,1641,-5678,-107,754
L,1554,630,634,-2250,-868,4777,205,-600,R,-2616,-979,401,16,1692,-6057,-203,679
L,1829,161,911,-3013,-70,4881,45,-631,R,-3017,-1629,531,112,1816,-6092,-280,604
L,1927,-486,1100,-3772,536,4828,-123,-580,R,-2954,-2134,436,63,2476,-5818,-355,535
L,1855,-1472,1329,-4318,685,4552,-328,-430,R,-2480,-2540,407,-7,3231,-5311,-453,439
L,1920,-2431,1497,-4140,367,3967,-449,-339,R,-2831,-2614,104,658,5307,-3356,-426,472
L,1964,-2899,1698,-3160,401,2969,-481,-303,R,-2804,-2158,-168,1396,4286,-1283,-375,523
L,2452,-2487,1931,-1564,447,898,-385,-379,R,-1573,-1785,-230,1060,684,-628,-483,411
L,2165,-1678,1306,-792,1343,-562,-335,-455,R,-1027,-1679,-257,591,-119,-308,-577,311
L,1342,-1452,441,-958,2786,-545,-457,-414,R,-958,-1793,-56,583,653,53,-618,281
L,1470,-1611,333,-698,2814,-547,-469,-417,R,-1481,-2025,376,732,1160,687,-529,357
L,1904,-1929,648,-342,2430,-1295,-437,-430,R,-2036,-2249,797,909,1054,1979,-458,404
L,2234,-2133,1198,105,1615,-2696,-400,-423,R,-2455,-2416,894,1151,1171,3621,-427,436
L,2582,-2118,1391,631,653,-3986,-358,-455,R,-2898,-2405,775,1303,827,4862,-387,489
L,2904,-1953,1189,885,360,-4850,-318,-517,R,-3014,-2064,496,1305,-90,5479,-340,548
L,2856,-1671,907,925,519,-5324,-291,-563,R,-2736,-1479,211,1222,-942,5648,-283,613
L,2469,-1232,728,1018,530,-5431,-255,-599,R,-2321,-844,62,1040,-1447,5436,-199,699
L,2019,-802,643,976,170,-5261,-207,-630,R,-1886,-314,23,744,-1886,4998,-94,805
L,1804,-394,575,649,-162,-5035,-117,-688,R,-1325,86,56,508,-2184,4532,37,855
L,1448,25,618,305,-101,-4766,9,-668,R,-679,412,119,275,-1921,4000,308,576
100
L,2501,-2406,839,-148,-2796,4153,-423,-444,R,-1387,-3055,819,-1916,536,-2472,-622,236
L,3312,-2366,406,821,-2510,2108,-353,-540,R,-1760,-2598,911,-796,450,-846,-526,325
L,2855,-1759,79,826,-713,372,-316,-583,R,-1478,-2080,535,-494,-1382,308,-529,345
L,1559,-1566,96,190,1173,-259,-450,-448,R,-657,-1989,38,-476,-2314,683,-716,182
L,931,-1487,300,81,1241,-223,-566,-315,R,-371,-1856,-126,-254,-1555,447,-780,112
L,711,-1480,499,326,-71,107,-595,-244,R,-487,-1836,-129,-132,-573,25,-746,148
L,1048,-1560,550,436,-1085,335,-528,-323,R,-671,-1930,-24,-167,-478,-203,-708,191
L,1441,-1655,581,349,-1004,273,-467,-394,R,-665,-2031,146,-151,-508,-110,-714,181
L,1501,-1677,558,202,-369,52,-463,-403,R,-594,-2053,278,-64,-173,55,-722,160
L,1276,-1654,526,57,165,-64,-501,-363,R,-759,-1978,336,-67,427,99,-672,207
L,1155,-1769,746,53,320,-18,-521,-310,R,-1680,-1826,492,-202,848,578,-462,416
L,1616,-2067,1405,414,259,-331,-439,-328,R,-2924,-1694,672,-228,291,2004,-294,580
L,2318,-2279,2062,1274,169,-1680,-363,-370,R,-3504,-1765,627,-117,-343,3771,-263,618
L,2823,-2270,2123,2445,-423,-3388,-327,-422,R,-3660,-2018,244,-202,-625,5242,-288,609
L,3234,-2016,1454,3052,-715,-4640,-296,-524,R,-3648,-2156,-213,-437,-1076,6260,-305,592
L,3186,-1540,624,2807,-15,-5339,-253,-624,R,-3235,-1878,-369,-553,-1334,6661,-299,593
L,2622,-895,191,2280,562,-5557,-188,-707,R,-2645,-1365,-317,-599,-1419,6520,-271,620
L,2090,-282,-35,1530,1051,-5358,-77,-822,R,-1944,-808,-147,-638,-1302,6017,-225,670
L,1291,-93,-77,810,1748,-4858,-41,-846,R,-1116,-305,38,-650,-1099,5233,-152,745
L,601,208,6,421,1552,-4207,191,-708,R,-551,68,275,-720,-899,4310,63,627
L,279,600,89,-181,1319,-3547,639,-247,R,-210,347,550,-782,-849,3410,305,179
L,-101,637,265,-766,1711,-2955,659,83,R,-18,555,737,-755,-1168,2682,370,11
L,-404,589,474,-881,1962,-2477,434,281,R,7,733,806,-726,-1840,2300,422,-3
L,-574,544,491,-854,2074,-2283,357,380,R,307,761,660,-702,-2658,2304,462,-169
L,-807,484,347,-871,2317,-2315,288,535,R,968,692,436,-675,-2167,2466,330,-497
L,-1529,381,296,-873,2296,-2318,137,724,R,1746,608,498,-647,-919,2399,185,-657
L,-2635,310,440,-676,1704,-1853,66,784,R,2806,489,931,-428,-203,1472,94,-694
L,-3484,227,697,-124,623,-463,36,781,R,2964,307,1296,5,-668,-532,54,-658
L,-3177,111,626,537,-260,1389,19,786,R,2235,147,949,178,-1450,-2700,34,-667
L,-2179,51,223,897,-979,2733,13,840,R,1421,76,449,-78,-357,-4169,29,-721
L,-1432,201,-109,1019,-2283,3431,79,809,R,386,211,233,-378,994,-5009,250,-508
L,-815,588,-351,953,-3369,3821,335,499,R,-499,374,149,-535,1321,-5495,356,510
L,-128,902,-527,643,-3854,4147,589,70,R,-1086,316,141,-503,1248,-5811,161,723
L,745,993,-479,42,-3394,4358,482,-340,R,-1679,132,150,-248,1338,-6093,44,831
L,1385,1036,-157,-783,-2392,4533,366,-528,R,-2226,-79,133,87,1249,-6268,-20,860
L,1752,772,161,-1641,-1655,4774,236,-657,R,-2650,-408,147,317,979,-6400,-87,807
L,2074,232,416,-2568,-632,5052,62,-770,R,-2849,-769,194,274,1019,-6434,-150,744
