105
100
L,-8,81,514,510,3928,4218,90,9,R,-489,-526,360,1485,-3876,3348,-408,374
L,-138,-321,773,-226,2340,4472,-222,94,R,-144,-419,356,1077,-2906,2256,-474,146
L,-37,-439,1022,-277,949,4180,-232,19,R,4,-386,537,719,-1769,1514,-357,-3
L,89,-69,1069,-149,670,3542,-36,-47,R,335,-297,814,436,-1352,1027,-186,-211
L,1,471,1143,-113,520,2610,224,0,R,673,30,1070,282,-980,661,13,-321
L,-18,879,1219,-102,141,1461,358,7,R,954,443,1271,203,-450,287,155,-353
L,-87,1073,1260,-122,36,513,403,30,R,1096,754,1378,102,-53,-56,231,-349
L,-166,1054,1293,-129,-115,-83,389,56,R,973,870,1479,-75,228,-328,261,-295
L,-184,860,1163,-117,-186,-826,361,72,R,707,721,1464,-207,351,-518,239,-234
L,-211,249,1075,-6,-569,-2184,128,108,R,485,217,1275,-183,761,-659,90,-205
L,-116,-573,1244,187,-1568,-3770,-246,48,R,124,-201,963,-232,1658,-692,-117,-72
L,83,-701,1336,48,-2413,-4654,-276,-31,R,-183,-243,1009,-598,1782,-631,-133,100
L,35,-143,1216,-525,-2864,-4533,-67,-16,R,-50,46,1077,-962,1724,-1000,24,26
L,-216,381,1109,-1443,-3449,-3640,186,104,R,3,218,702,-1211,3462,-2116,173,-2
L,-329,635,1163,-2371,-4674,-2029,277,139,R,-823,143,554,-1407,4903,-3570,82,551
L,267,343,1325,-3020,-5354,1,142,-110,R,-1984,-203,1303,-1567,3503,-4520,-48,563
L,1504,-472,2051,-3329,-3509,1674,-105,-355,R,-2006,-569,1912,-1832,1407,-4619,-116,451
L,1537,-1036,2777,-3130,-863,2456,-180,-274,R,-1753,-1311,1768,-2119,966,-4268,-277,385
L,970,-1683,2604,-2978,-285,2770,-312,-173,R,-1625,-2308,1525,-2085,1559,-3796,-459,304
L,1162,-2536,2104,-2492,-1348,3014,-465,-194,R,-1382,-2841,1333,-1551,2382,-3198,-559,237
L,1237,-2898,1615,-1783,-1628,2952,-549,-204,R,-1174,-3079,1241,-883,3373,-2150,-609,194
L,1040,-2969,1349,-1350,-568,2119,-601,-176,R,-1178,-2675,1206,-229,3438,-1207,-577,218
L,584,-2678,1067,-792,342,495,-655,-114,R,-1341,-2239,963,197,1203,-580,-535,288
L,207,-2252,790,-304,-34,-732,-700,-49,R,-866,-1989,547,353,-1137,22,-627,227
L,471,-1970,826,13,-765,-876,-642,-124,R,-326,-1730,357,406,-1230,208,-743,104
L,779,-1766,827,206,-793,-566,-572,-217,R,-262,-1710,378,291,-253,96,-749,85
L,802,-1731,688,239,-464,-291,-586,-232,R,-448,-1870,462,143,173,-44,-709,130
L,782,-1811,533,160,22,-111,-623,-225,R,-506,-1983,501,40,-119,-130,-702,139
L,720,-1902,519,98,294,-31,-649,-200,R,-443,-2003,514,-32,-357,-123,-712,121
L,667,-1936,569,98,212,10,-656,-183,R,-396,-1984,535,-50,-297,-82,-714,109
L,674,-1919,575,134,33,28,-652,-185,R,-371,-1948,547,-28,-40,-18,-712,103
L,683,-1891,580,163,-67,34,-646,-190,R,-406,-1940,570,-4,175,42,-701,113
L,698,-1865,595,166,-104,56,-637,-196,R,-464,-1939,590,10,140,73,-688,129
100
L,503,-2197,1652,490,429,-284,-518,-103,R,-1203,-2461,1418,221,-813,294,-529,229
